id,source_file,source_line,section,claim,status,severity,categories,equivalent_components,evidence_required,remediation
CLAIM-0115,todo.md,166,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 8),Complete verified archive with file inventory comparison,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0115. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0116,todo.md,170,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 8) — COMPLETED,Loan application form in Banking Dashboard — full modal form (product/term/purpose/collateral/guarantor) wired to trpc.banking.applyLoan; success toast + invalidation,blocked,critical,funds-and-ledger | api-and-integration | client-experience,authoritative ledger or durable transaction store | idempotency/reconciliation component | authorization policy | audit trail | real-dependency integration test | concurrency and crash-recovery test | registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0116. Trace the stated capability through authoritative ledger or durable transaction store, idempotency/reconciliation component, authorization policy, audit trail, real-dependency integration test, concurrency and crash-recovery test, registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0117,todo.md,171,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 8) — COMPLETED,"Insurance claim submission — InsuranceClaimForm component with S3 photo upload, incident date, loss estimate, description; wired to trpc.banking.submitInsuranceClaim",blocked,high,api-and-integration,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0117. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0118,todo.md,172,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 8) — COMPLETED,"Mobile loan notification banner — useLoanNotifications.ts hook for React Native (WebSocket subscribe_loans, reconnect, unread badge, wired into dashboard tab); loan_notification_provider.dart for Flutter (StateNotifier, wired into notifications screen with live alerts section)",blocked,critical,funds-and-ledger | client-experience,authoritative ledger or durable transaction store | idempotency/reconciliation component | authorization policy | audit trail | real-dependency integration test | concurrency and crash-recovery test | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0118. Trace the stated capability through authoritative ledger or durable transaction store, idempotency/reconciliation component, authorization policy, audit trail, real-dependency integration test, concurrency and crash-recovery test, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0119,todo.md,173,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 8) — COMPLETED,"Full 13-point audit: 117 pages, 70 routers, 198 DB tables, 3 WS handlers, 16 middleware modules, 765 tests passing",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0119. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0120,todo.md,174,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 8) — COMPLETED,Fix all audit gaps — PERMIFY_FAIL_OPEN=true in vitest.config.ts; VAPID test keys added; all 765 tests green (0 failures),blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0120. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0121,todo.md,175,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 8) — COMPLETED,Complete verified archive — see Round 9 below,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0121. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0122,todo.md,179,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 9) — Production Readiness Final,"All 765 tests passing (6 test files, 0 failures) — TypeScript: 0 errors",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0122. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0123,todo.md,180,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 9) — Production Readiness Final,"Comprehensive audit complete: 117 pages, 70 routers, 198 DB tables, 3 WS handlers, 16 middleware modules",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0123. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0124,todo.md,181,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 9) — Production Readiness Final,VAPID keys added to vitest env; Permify fail-open in test env,blocked,critical,identity-and-authorization,identity provider | server-side authorization middleware | policy store | audit event | negative and cross-tenant test,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0124. Trace the stated capability through identity provider, server-side authorization middleware, policy store, audit event, negative and cross-tenant test. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0125,todo.md,182,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 9) — Production Readiness Final,Banking Dashboard: Loan Application Form + Insurance Claim Form + Transaction History all wired end-to-end,blocked,critical,funds-and-ledger | client-experience,authoritative ledger or durable transaction store | idempotency/reconciliation component | authorization policy | audit trail | real-dependency integration test | concurrency and crash-recovery test | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0125. Trace the stated capability through authoritative ledger or durable transaction store, idempotency/reconciliation component, authorization policy, audit trail, real-dependency integration test, concurrency and crash-recovery test, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0126,todo.md,183,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 9) — Production Readiness Final,"React Native: useLoanNotifications hook with WebSocket reconnect, unread badge, dashboard integration",blocked,high,api-and-integration | client-experience,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0126. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0127,todo.md,184,NEXCOM Exchange — Full Platform TODO > Next Steps (Round 9) — Production Readiness Final,Flutter: loan_notification_provider.dart StateNotifier + notifications_screen.dart live alerts section,blocked,medium,client-experience,registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0127. Trace the stated capability through registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0128,todo.md,187,NEXCOM Exchange — Full Platform TODO > Round 10 — USSD / WhatsApp / Telegram (Go + Python + Rust) — COMPLETED,"DB schema: ussd_sessions, whatsapp_contacts, whatsapp_messages, telegram_contacts, telegram_messages tables added and migrated (0042 migration)",blocked,high,data-and-schema,schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0128. Trace the stated capability through schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0129,todo.md,188,NEXCOM Exchange — Full Platform TODO > Round 10 — USSD / WhatsApp / Telegram (Go + Python + Rust) — COMPLETED,"Rust USSD engine: services/ussd-engine/ (main.rs, session.rs, menu.rs, db.rs, kafka.rs, pin.rs, metrics.rs, Dockerfile) — Africa's Talking callback handler, full menu tree (price check, portfolio, trade, loan), Redis-backed session state machine, Prometheus metrics",blocked,critical,funds-and-ledger | identity-and-authorization | api-and-integration | data-and-schema | client-experience | deployment-and-operations,authoritative ledger or durable transaction store | idempotency/reconciliation component | authorization policy | audit trail | real-dependency integration test | concurrency and crash-recovery test | identity provider | server-side authorization middleware | policy store | audit event | negative and cross-tenant test | registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability | deployment manifest | least-privilege runtime configuration | health/telemetry | staging/canary test | rollback and incident runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0129. Trace the stated capability through authoritative ledger or durable transaction store, idempotency/reconciliation component, authorization policy, audit trail, real-dependency integration test, concurrency and crash-recovery test, identity provider, server-side authorization middleware, policy store, audit event, negative and cross-tenant test, registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability, deployment manifest, least-privilege runtime configuration, health/telemetry, staging/canary test, rollback and incident runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0130,todo.md,189,NEXCOM Exchange — Full Platform TODO > Round 10 — USSD / WhatsApp / Telegram (Go + Python + Rust) — COMPLETED,"Go channel gateway: services/channel-gateway/ (WhatsApp Meta Cloud API webhook + Telegram Bot webhook, Kafka producer, Prometheus metrics, Dockerfile, internal /send endpoints)",blocked,high,api-and-integration | deployment-and-operations,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | deployment manifest | least-privilege runtime configuration | health/telemetry | staging/canary test | rollback and incident runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0130. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, deployment manifest, least-privilege runtime configuration, health/telemetry, staging/canary test, rollback and incident runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0131,todo.md,190,NEXCOM Exchange — Full Platform TODO > Round 10 — USSD / WhatsApp / Telegram (Go + Python + Rust) — COMPLETED,"Python bot-logic service: services/bot-logic/ (FastAPI, NLP intent classifier, message router, DB queries, Kafka producer, Dockerfile) — 15/15 NLP tests passing",blocked,high,api-and-integration,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0131. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0132,todo.md,191,NEXCOM Exchange — Full Platform TODO > Round 10 — USSD / WhatsApp / Telegram (Go + Python + Rust) — COMPLETED,"tRPC routers: ussdRouter (getSessionStats, getSessions, getSessionDetail), whatsappRouter (getStats, getContacts, getMessages, sendMessage, updateContactStatus), telegramRouter (getStats, getContacts, getMessages, sendMessage, updateContactStatus) — all mounted in appRouter",blocked,high,api-and-integration,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0132. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0133,todo.md,192,NEXCOM Exchange — Full Platform TODO > Round 10 — USSD / WhatsApp / Telegram (Go + Python + Rust) — COMPLETED,Notification service: sendWhatsAppMessage + sendTelegramMessage helpers added; whatsapp/telegram dispatch channels wired into dispatchNotification,blocked,high,api-and-integration,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0133. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0134,todo.md,193,NEXCOM Exchange — Full Platform TODO > Round 10 — USSD / WhatsApp / Telegram (Go + Python + Rust) — COMPLETED,"ChannelDashboard.tsx: admin page with live stats, session/contact tables, send-message modals for all 3 channels; routed at /channel-dashboard",blocked,critical,identity-and-authorization | client-experience,identity provider | server-side authorization middleware | policy store | audit event | negative and cross-tenant test | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0134. Trace the stated capability through identity provider, server-side authorization middleware, policy store, audit event, negative and cross-tenant test, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0135,todo.md,194,NEXCOM Exchange — Full Platform TODO > Round 10 — USSD / WhatsApp / Telegram (Go + Python + Rust) — COMPLETED,"DashboardLayout: Channel Dashboard nav item added (admin-only, Phone icon)",blocked,medium,client-experience,registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0135. Trace the stated capability through registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0136,todo.md,195,NEXCOM Exchange — Full Platform TODO > Round 10 — USSD / WhatsApp / Telegram (Go + Python + Rust) — COMPLETED,"Tests: 782 passing (7 test files, 0 failures) — 17 new channel router tests in channels.test.ts",blocked,high,api-and-integration,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0136. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0137,todo.md,198,NEXCOM Exchange — Full Platform TODO > Round 11 — Channel Secrets + USSD Loan Flow + Telegram Alerts,"Configure production secrets: AFRICASTALKING_API_KEY, WHATSAPP_ACCESS_TOKEN, WHATSAPP_PHONE_NUMBER_ID, TELEGRAM_BOT_TOKEN, WHATSAPP_VERIFY_TOKEN, CHANNEL_GATEWAY_URL",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0137. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0138,todo.md,199,NEXCOM Exchange — Full Platform TODO > Round 11 — Channel Secrets + USSD Loan Flow + Telegram Alerts,Extend Rust USSD engine: loan-apply flow (LOAN_AMOUNT → LOAN_PURPOSE → LOAN_CONFIRM → PIN verify → applyLoan HTTP call),blocked,critical,funds-and-ledger | client-experience,authoritative ledger or durable transaction store | idempotency/reconciliation component | authorization policy | audit trail | real-dependency integration test | concurrency and crash-recovery test | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0138. Trace the stated capability through authoritative ledger or durable transaction store, idempotency/reconciliation component, authorization policy, audit trail, real-dependency integration test, concurrency and crash-recovery test, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0139,todo.md,200,NEXCOM Exchange — Full Platform TODO > Round 11 — Channel Secrets + USSD Loan Flow + Telegram Alerts,"Telegram alert commands: /alert set <commodity> <price> <above|below>, /alert list, /alert delete <id> — wired to existing createAlert/listAlerts/deleteAlert tRPC procedures via bot-logic service",blocked,high,api-and-integration | deployment-and-operations,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | deployment manifest | least-privilege runtime configuration | health/telemetry | staging/canary test | rollback and incident runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0139. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, deployment manifest, least-privilege runtime configuration, health/telemetry, staging/canary test, rollback and incident runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0140,todo.md,201,NEXCOM Exchange — Full Platform TODO > Round 11 — Channel Secrets + USSD Loan Flow + Telegram Alerts,Tests for USSD loan flow and Telegram alert commands,blocked,critical,funds-and-ledger | client-experience | deployment-and-operations,authoritative ledger or durable transaction store | idempotency/reconciliation component | authorization policy | audit trail | real-dependency integration test | concurrency and crash-recovery test | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability | deployment manifest | least-privilege runtime configuration | health/telemetry | staging/canary test | rollback and incident runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0140. Trace the stated capability through authoritative ledger or durable transaction store, idempotency/reconciliation component, authorization policy, audit trail, real-dependency integration test, concurrency and crash-recovery test, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability, deployment manifest, least-privilege runtime configuration, health/telemetry, staging/canary test, rollback and incident runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0141,todo.md,202,NEXCOM Exchange — Full Platform TODO > Round 11 — Channel Secrets + USSD Loan Flow + Telegram Alerts,Checkpoint and archive update,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0141. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0142,todo.md,205,NEXCOM Exchange — Full Platform TODO > Round 11 — Channel Secrets + USSD Loan Flow + Telegram Alerts,"Configure production secrets: AFRICASTALKING_API_KEY, WHATSAPP_ACCESS_TOKEN, WHATSAPP_PHONE_NUMBER_ID, TELEGRAM_BOT_TOKEN, WHATSAPP_VERIFY_TOKEN, CHANNEL_GATEWAY_URL",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0142. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0143,todo.md,206,NEXCOM Exchange — Full Platform TODO > Round 11 — Channel Secrets + USSD Loan Flow + Telegram Alerts,Extend Rust USSD engine: loan-apply flow (LOAN_AMOUNT -> LOAN_PURPOSE -> LOAN_CONFIRM -> PIN verify -> applyLoan HTTP call),blocked,critical,funds-and-ledger | client-experience,authoritative ledger or durable transaction store | idempotency/reconciliation component | authorization policy | audit trail | real-dependency integration test | concurrency and crash-recovery test | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0143. Trace the stated capability through authoritative ledger or durable transaction store, idempotency/reconciliation component, authorization policy, audit trail, real-dependency integration test, concurrency and crash-recovery test, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0144,todo.md,207,NEXCOM Exchange — Full Platform TODO > Round 11 — Channel Secrets + USSD Loan Flow + Telegram Alerts,"Telegram alert commands: /alert set <commodity> <price> <above|below>, /alert list, /alert delete <id> wired to createAlert/listAlerts/deleteAlert",blocked,high,deployment-and-operations,deployment manifest | least-privilege runtime configuration | health/telemetry | staging/canary test | rollback and incident runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0144. Trace the stated capability through deployment manifest, least-privilege runtime configuration, health/telemetry, staging/canary test, rollback and incident runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
